2405%Julianne Moore
2406%Haruo Tanaka
2407%Orson Welles
2408%Michael Caine
2409%George C. Scott
2410%Mandy Patinkin
2411%John Huston
2412%Eric Idle
2413%Chris Hemsworth
2414%James Robinson
2415%Michael Bates
2416%Steve Buscemi
2417%Terry Gilliam 
2418%Sean Young
2419%Tom Helmore 
2420%Mark Hamill
2421%Christopher Plummer
2422%Guy Pearce
2423%Shirley MacLaine
2424%Rachel Shelley
2425%Connie Nielsen
2426%Simone Signoret
2427%John Megna
2428%Robin Williams
2429%Vivica A. Fox
2430%Christopher Lloyd
2431%Andrea Eckert
2432%Barbara O'Neil
2433%Jennifer Lien 
2434%Grace Kelly
2435%Ed Harris
2436%Colin Firth
2437%Piper Laurie
2438%Barry Pepper 
2439%Mélanie Laurent
2440%Adrien Brody 
2441%Jean Hagen 
2442%Sean Astin
2443%Kareena Kapoor 
2444%Chris Elliott
2445%Vincent D'Onofrio
2446%Leo G. Carroll 
2447%Desmond Dube
2448%Ray Walston 
2449%Eric Bana 
2450%Alison Doody 
2451%Joan Cusack
2452%Arnold Schwarzenegger
2453%Billy Crudup
2454%John Bach
2455%Anne Le Ny
2456%Barry Humphries
2457%Otto Wernicke 
2458%Stellan Skarsgård 
2459%Walter Connolly
2460%Michelle Pfeiffer
2461%Margot Robbie
2462%Michael Berryman
2463%Gayatri Joshi
2464%Faye Dunaway
2465%Kristina Adolphson
2466%Sareh Bayat
2467%Jena Malone 
2468%Chris Pratt
2469%Bengt Ekerot
2470%Paul Newman
2471%Laura Linney
2472%Harry Myers
2473%Thora Birch
2474%Emile Hirsch
2475%Porter Hall 
2476%Nick Moran
2477%Jack Oakie
2478%David Aston 
2479%Jennifer Connelly
2480%Charles Vanel
2481%Vera Miles
2482%Henning Moritzen
2483%Donna Reed
2484%Jay Baruchel
2485%William Daniels 
2486%Bruce Allpress
2487%Dustin Hoffman
2488%Ray Liotta
2489%Joseph Gordon-Levitt 
2490%Al Pacino
2491%Ewan McGregor
2492%R. Lee Ermey 
2493%Peyman Moaadi
2494%Ben Affleck
2495%Iko Uwais
2496%Gracy Singh
2497%Peter Billingsley
2498%Bonnie Hunt 
2499%Myrna Loy
2500%Otto Preminger
2501%Paprika Steen 
2502%Ji-tae Yu
2503%Jack Nicholson
2504%Wes Bentley 
2505%Joan Fontaine
2506%Frank Overton
2507%Anna Paquin
2508%Alison Crosbie
2509%Bob Peterson 
2510%Hilary Swank
2511%Diahnne Abbott
2512%Stephen Rea
2513%Leila Hatami
2514%Reginald Gardiner
2515%Haley Joel Osment
2516%Kevin Spacey
2517%Paulette Goddard
2518%Jerry Orbach 
2519%Gary Oldman
2520%Audrey Hepburn
2521%George Macready 
2522%Giustino Durano 
2523%Ingrid Thulin
2524%Laura Lovelace
2525%Laurence Olivier
2526%Saif Ali Khan
2527%Annette Bening
2528%Jordan Nagai
2529%John Hurt
2530%Richard Burton
2531%Madhavan
2532%Tom Berenger
2533%Marianne Koch
2534%Sandy Nelson
2535%Michael Clarke Duncan
2536%Jason Flemyng
2537%Jim Farley 
2538%Leo Gullotta 
2539%Daisuke Ryû 
2540%Carrie Henn
2541%John Goodman
2542%Lee J. Cobb
2543%Aamir Khan
2544%Linda Hamilton
2545%Dev Patel
2546%Jessica Alba
2547%Pernilla Allwin
2548%Alec Guinness
2549%Henry Bergman 
2550%Brahim Hadjadj
2551%Jack Hawkins 
2552%Andy Lau
2553%Billy Bob Thornton
2554%Kevin McKidd 
2555%Katharine Ross
2556%James Gleason 
2557%James Donald 
2558%Charles Bronson 
2559%George Raft 
2560%Sally Field
2561%Dwight Henry
2562%Evelyn Keyes 
2563%Robert De Niro 
2564%Fritz Rasp 
2565%Charles Durning 
2566%Nancy Olson 
2567%Judith Anderson 
2568%Rosemary Murphy 
2569%Keir Dullea
2570%Sharon Stone
2571%Ali Astin
2572%Lawrence T. Wrentz 
2573%Isuzu Yamada 
2574%Alexandra Maria Lara 
2575%Lauren Bacall
2576%Christian Bale
2577%Chris Evans
2578%Sigourney Weaver
2579%Inge Landgut
2580%Frank Adu
2581%Ka Tung Lam
2582%James Garner
2583%Tim Roth
2584%Minnie Driver
2585%Katie Holmes 
2586%Alonzo Brown 
2587%Patricia Arquette
2588%Véra Clouzot
2589%Maggie Cheung
2590%Haya Harareet
2591%Lucy Liu
2592%Holmes Osborne
2593%Dean R. Brooks
2594%Peter Sellers
2595%Andie MacDowell
2596%Scott Glenn 
2597%Lianella Carell
2598%Sean Astin 
2599%Aaron Eckhart
2600%Mélissa Désormeaux-Poulin 
2601%Hartley Power 
2602%Terry Gilliam
2603%David Strathairn
2604%John Ridgely
2605%Alan Howard
2606%Farley Granger
2607%Ahney Her 
2608%Anatoliy Solonitsyn
2609%Peter Brocco
2610%Marion Mack
2611%Denholm Elliott
2612%Rumi Hiiragi
2613%Tony Curtis
2614%Tim Allen
2615%Akshaye Khanna
2616%Craig Ferguson 
2617%Tom Murray
2618%Jason Statham 
2619%Jessie Royce Landis 
2620%Charles Chaplin 
2621%Carrie Fisher
2622%Talia Shire
2623%Elijah Smith
2624%Robert Shaw
2625%Joel Edgerton
2626%Yves Montand
2627%Roe-ha Kim
2628%Robert Patrick 
2629%Beverly D'Angelo
2630%Robert Portal 
2631%Jackie Gleason
2632%Forest Whitaker 
2633%Hitoshi Takagi
2634%Julie Delpy
2635%George Kennedy
2636%Edward Norton
2637%Mark Ruffalo
2638%Tim Robbins
2639%Daniel Radcliffe 
2640%Walter Huston
2641%Henry Fonda
2642%Elijah Wood 
2643%Zoe Saldana
2644%Chris Penn 
2645%Tatsuya Gashûin 
2646%Beulah Garrick 
2647%Gunnar Björnstrand 
2648%Kishori Balal
2649%Klaus Wennemann
2650%Marcia Gay Harden
2651%Ping Lam Siu
2652%Martin Sheen
2653%Ellen Page
2654%Gary Cooper
2655%Don Taylor
2656%Alisa Freyndlikh
2657%Lorelei Linklater 
2658%Hanno Pöschl 
2659%Sergi López
2660%Roy Dotrice 
2661%Alan Rickman
2662%Anthony Quinn
2663%Lisa Renee Pitts
2664%Celeste Holm 
2665%Martin Stringer
2666%Hugo Weaving
2667%Malcolm McDowell
2668%Martha Vickers 
2669%Anthony Hopkins
2670%Giorgio Cantarini
2671%Wolfgang Lukschy 
2672%Joe Pesci 
2673%Bruce Bennett 
2674%Christopher Guest 
2675%Sala Baker 
2676%Teresa Wright 
2677%Hubertus Bengsch 
2678%Stephen Baldwin
2679%Douglas Silva 
2680%Keira Knightley 
2681%Ruth Warrick 
2682%Powers Boothe 
2683%Martin Balsam
2684%Hakeem Kae-Kazim 
2685%Anthony Chau-Sang Wong
2686%Jack Hawkins
2687%Michael Chance 
2688%Herbert Grönemeyer
2689%F. Murray Abraham
2690%Philip King
2691%Peter Cushing 
2692%Billy Dee Williams 
2693%Robby Benson
2694%Lasse Fogelstrøm 
2695%Ed Stoppard 
2696%Leonardo DiCaprio
2697%Nicoletta Braschi
2698%Saïd Taghmaoui
2699%Mark Boone Junior 
2700%Sully Boyar
2701%Hye-jeong Kang
2702%Maggie Gyllenhaal
2703%Sylvester Stallone
2704%William H. Macy
2705%Sachet Engineer 
2706%Folco Lulli
2707%Oliver Reed 
2708%Dave Bautista
2709%Cate Blanchett
2710%Cloris Leachman
2711%Joseph Gordon-Levitt
2712%Morgan Freeman
2713%John Cleese
2714%Robert De Niro
2715%Corinna Harfouch
2716%Christoph Waltz
2717%Paul Blackthorne 
2718%Strother Martin 
2719%Jane Darwell
2720%Gino Saltamerenda 
2721%Marlon Wayans 
2722%Isa Danieli
2723%Takuya Kimura
2724%Tom Hardy
2725%Jon Seda
2726%Henry Bergman
2727%Abdel Ahmed Ghili 
2728%Louise Lemoine Torres 
2729%Wendell Corey
2730%George C. Scott 
2731%Mary Elizabeth Mastrantonio 
2732%T.K. Carter
2733%Smith Seth 
2734%Sean Lawlor
2735%Jamie Foxx
2736%Jonny Lee Miller
2737%Scatman Crothers 
2738%Ivana Baquero
2739%Roberto Benigni
2740%Peter van Eyck 
2741%Gregory Peck
2742%Simon Yam
2743%Fredric March
2744%Gerard Butler
2745%Ben Kingsley
2746%James Cromwell 
2747%Antonella Attili
2748%Gustav Fröhlich
2749%Christopher Walken 
2750%Peter Lorre
2751%Claude Rains 
2752%Claudette Colbert
2753%Jae-ho Song 
2754%Harry Dean Stanton 
2755%Gerry Robert Byrne
2756%Marilyn Monroe
2757%Lloyd Bridges
2758%Tatsuya Nakadai
2759%Michael Caine 
2760%Robert Duvall 
